SMILES,InChI,Count
c1ccccc1,UHOVQNZJYSORNB-UHFFFAOYSA-N,26
C1CCOCC1,DHXVGJBLRPWPCS-UHFFFAOYSA-N,11
C1CCNC1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,4
c1c[nH]cn1,RAXXELZNTBOGNW-UHFFFAOYSA-N,4
C1CCNCC1,NQRYJNQNLNOLGT-UHFFFAOYSA-N,2
c1ccoc1,YLQBMQCUIZJEEH-UHFFFAOYSA-N,2
c1cscn1,FZWLAAWBMGSTSO-UHFFFAOYSA-N,2
c1ccc2[nH]ccc2c1,SIKJAQJRHWYJAI-UHFFFAOYSA-N,2
c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,1
N=c1[nH]c2ccccc2s1,UHGULLIUJBCTEF-UHFFFAOYSA-N,1
O=S1(=O)N=CNc2ccccc21,BBNGVMNBBLPZIR-UHFFFAOYSA-N,1
O=C1c2ccc(cc2)Cn2cc[n+](c2)Cc2ccc(cc2)-c2cccc(c2)-c2ccc(cc2)C[n+]2ccn(c2)Cc2ccc(cc2)C(=O)c2ccc3[nH]c4ccc1cc4c3c2,UJEQPQQWRLSURY-UHFFFAOYSA-O,1
c1ccc2c(c1)CNc1c-2ccc2cc3c(cc12)OCO3,UMHGHKMURYOCOU-UHFFFAOYSA-N,1
C1CCOC1,WYURNTSHIVDZCO-UHFFFAOYSA-N,1
O=C1C=Cc2ccccc2C1,WZCKOKPKQZIGNU-UHFFFAOYSA-N,1
O=C1NC(=O)c2ccccc21,XKJCHHZQLQNZHY-UHFFFAOYSA-N,1
O=C1OC2C=CCCCC3C=CCCC3CC23OC13,UPDVKQFEWFYNLP-UHFFFAOYSA-N,1
C1CCC2C(C1)CCC1C2CCC2C3CCCOC34CC12CO4,QVSPHTISBFFARA-UHFFFAOYSA-N,1
C1=C2CCCCC2C2CCC3CCCC3C2C1,CBKAHYBYIWZZPP-UHFFFAOYSA-N,1
c1cc2ncncc2cn1,PLZDHJUUEGCXJH-UHFFFAOYSA-N,1
C1C2CC3CC1CC(C2)C3,ORILYTVJVMAKLC-UHFFFAOYSA-N,1
C1CC1,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,1
O=C1CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,KZHSFFMCPADVHH-UHFFFAOYSA-N,1
O=C1CCCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCCCCCN1,KVCRKKPGTYVCTI-UHFFFAOYSA-N,1
c1cc[nH]c1,KAESVJOAVNADME-UHFFFAOYSA-N,1
O=c1[nH]c2ccccc2c2c1C=CCO2,JFNMVOGBMGDSQA-UHFFFAOYSA-N,1
C1CNCCN1,GLUUGHFHXGJENI-UHFFFAOYSA-N,1
O=C1CCCCCCCCCCOC2OCCCC2OC2OCCCC2OC2CC(CCO2)O1,FKOLBZUQQLNSKQ-UHFFFAOYSA-N,1
C1COCCN1,YNAVUWVOSKDBBP-UHFFFAOYSA-N,1
